tournament,date,home_team,away_team,market,line,over_odds,under_odds,book,is_closing,source_url
FIFA World Cup,2022-11-25,wales,iran,match_total,3.5,5.1,1.2,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,wales,iran,match_total,4.5,12.0,1.07,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,wales,iran,match_total,5.5,31.0,1.02,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,qatar,senegal,match_total,0.5,1.1,8.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,qatar,senegal,match_total,1.5,1.47,2.9,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,qatar,senegal,match_total,2.5,2.51,1.6,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,qatar,senegal,match_total,3.5,4.7,1.22,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,qatar,senegal,match_total,4.5,10.5,1.07,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,qatar,senegal,match_total,5.5,29.0,1.02,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,netherlands,ecuador,match_total,0.5,1.1,9.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,netherlands,ecuador,match_total,1.5,1.46,3.15,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,netherlands,ecuador,match_total,2.5,2.35,1.73,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,netherlands,ecuador,match_total,3.5,4.6,1.24,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,netherlands,ecuador,match_total,4.5,10.0,1.08,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,netherlands,ecuador,match_total,5.5,27.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,england,united_states,match_total,0.5,1.07,11.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,england,united_states,match_total,1.5,1.35,3.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,england,united_states,match_total,2.5,2.1,1.9,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,england,united_states,match_total,3.5,3.7,1.32,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,england,united_states,match_total,4.5,7.6,1.11,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-25,england,united_states,match_total,5.5,18.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,tunisia,australia,match_total,0.5,1.1,8.2,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
